step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
11,3.780972,11.028959,31.518981999999937,955.306091,966.335022,3225.695068,934.441284,0.374784,934.81604,13
11,3.780972,10.931232,31.253722999999923,955.386475,966.317688,3225.752686,934.685059,0.37888,935.063965,13
11,3.780972,10.964767,31.699279000000047,955.643494,966.608276,3224.782959,934.660156,0.248832,934.908997,13
11,3.780972,10.910272,31.680420000000026,955.536438,966.446716,3225.322021,934.704834,0.06144,934.766296,13
12,3.811755,10.767328,30.599487000000067,962.387817,973.155151,3203.088135,941.941284,0.6144,942.555664,13
12,3.811755,10.840897,30.58044499999994,962.318176,973.159058,3203.075439,941.940674,0.637952,942.578613,13
12,3.811755,10.907583,31.10455300000001,961.412415,972.320007,3205.839355,940.872437,0.34304,941.215454,13
12,3.811755,10.725664,30.56042500000001,962.465332,973.190979,3202.970459,942.00592,0.62464,942.630554,13
12,3.811755,10.77216,31.421570000000088,962.219727,972.991882,3203.625732,941.388062,0.182272,941.570312,13
12,3.811755,10.927135,31.44927999999993,961.454651,972.381775,3205.635742,940.742065,0.190368,940.932495,13
12,3.811755,10.769472,30.740173000000027,962.390259,973.159729,3203.073242,942.002808,0.416768,942.419556,13
12,3.811755,10.663296,31.55108599999994,962.403015,973.066284,3203.380859,941.42926,0.085952,941.515198,13
13,3.539338,10.918752,30.22894299999996,954.994568,965.91333,3227.103027,934.52417,1.160192,935.684387,13
13,3.539338,10.917216,30.51196200000004,954.944702,965.861938,3227.274902,934.354675,0.995328,935.349976,13
13,3.539338,10.948576,30.507812999999942,954.9552,965.903748,3227.13501,934.474365,0.9216,935.395935,13
13,3.539338,10.693151,30.21691899999996,955.061523,965.7547,3227.633057,934.688904,0.848896,935.537781,13
13,3.539338,10.718496,30.205077999999958,955.109863,965.828369,3227.386963,934.479492,1.143808,935.623291,13
13,3.539338,10.82944,31.08557200000007,955.003418,965.832886,3227.37207,934.341858,0.40544,934.747314,13
13,3.539338,11.064992,31.650512999999933,954.52179,965.586792,3228.194336,933.853516,0.082784,933.936279,13
