step,loss,computation_time_ms,communication_time_ms,total_host_time_ms,gflops_per_sec,mfu_percentage
157,3.476950,140.122681,0.000000,143.692323,1390.344991,-100.000000
158,3.198008,139.687836,0.000000,143.137886,1394.673103,-100.000000
159,3.397848,139.196289,0.000000,142.625438,1399.598140,-100.000000
160,4.620377,139.513184,0.000000,142.955396,1396.419049,-100.000000
161,3.542853,320.607941,0.000000,328.823121,607.654529,-100.000000
162,3.700345,142.865021,0.000000,146.592185,1363.656871,-100.000000
163,4.935123,140.223648,0.000000,143.922606,1389.343879,-100.000000
164,3.418526,139.108932,0.000000,142.744511,1400.477048,-100.000000
165,3.841244,140.235901,0.000000,143.887841,1389.222489,-100.000000
166,3.927994,139.650650,0.000000,143.339507,1395.044471,-100.000000
167,4.646421,139.484833,0.000000,143.291000,1396.702877,-100.000000
168,4.346148,139.460068,0.000000,143.117589,1396.950900,-100.000000
169,4.099802,139.768036,0.000000,143.430776,1393.872826,-100.000000
170,4.207565,139.356476,0.000000,142.975966,1397.989337,-100.000000
171,4.157605,333.127594,0.000000,341.854170,584.817562,-100.000000
172,3.847094,139.328674,0.000000,142.954431,1398.268290,-100.000000
173,3.704224,140.591965,0.000000,144.325832,1385.704137,-100.000000
174,3.241167,139.836121,0.000000,143.513944,1393.194164,-100.000000
175,4.159990,139.205383,0.000000,142.863572,1399.506704,-100.000000
176,3.842688,139.104218,0.000000,142.735282,1400.524518,-100.000000
177,4.141674,139.661026,0.000000,143.303101,1394.940828,-100.000000
178,3.431502,139.654373,0.000000,143.309664,1395.007280,-100.000000
179,3.420720,140.796616,0.000000,144.474529,1383.689987,-100.000000
180,2.205948,139.397476,0.000000,143.025293,1397.578152,-100.000000
181,3.798111,292.135651,0.000000,299.579911,666.878099,-100.000000
182,3.978884,139.570114,0.000000,143.174407,1395.849451,-100.000000
183,2.690960,139.894562,0.000000,143.484288,1392.612155,-100.000000
184,3.991870,139.852539,0.000000,143.397493,1393.030606,-100.000000
185,3.501150,145.258179,0.000000,148.965708,1341.190348,-100.000000
186,3.864810,139.994080,0.000000,143.540956,1391.622187,-100.000000
187,4.055158,139.160965,0.000000,142.710099,1399.953408,-100.000000
188,3.637751,143.697571,0.000000,147.321928,1355.756163,-100.000000
189,4.147470,139.654556,0.000000,143.242142,1395.005451,-100.000000
190,4.004221,141.433945,0.000000,145.017499,1377.454808,-100.000000
191,3.520784,307.878784,0.000000,315.763930,632.777824,-100.000000
192,2.485311,139.801346,0.000000,143.248478,1393.540713,-100.000000
193,4.459589,139.338943,0.000000,142.766133,1398.165239,-100.000000
194,3.796558,138.972122,0.000000,142.414871,1401.855740,-100.000000
195,3.767696,138.928604,0.000000,142.348408,1402.294858,-100.000000
196,4.317126,139.916580,0.000000,143.354983,1392.393002,-100.000000
197,4.310915,139.837891,0.000000,143.346585,1393.176530,-100.000000
198,3.585003,139.283112,0.000000,142.788356,1398.725696,-100.000000
199,4.072601,139.275711,0.000000,142.722507,1398.800018,-100.000000
200,3.730865,139.461243,0.000000,142.887589,1396.939131,-100.000000
